"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_1218786760413811974","House","Entire home/apt","6","8/1/2025","1","31","usd","4451","4451","143.58","307","8","31","0","0","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","21.00595","-89.6103","True","True","1218786760413811974","402742882","","","","83734.29","2701.11","83425.32","6079"
"abnb_1218985824626663724","Guest house","Private room","1","8/1/2025","0.548387","31","usd","781","781","45.94","121","12","17","14","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.96947","-89.63293","True","True","1218985824626663724","392031123","","","","14730.65","866.51","14638.32","2366"
"abnb_1219040205218020894","Guest house","Entire home/apt","1","8/1/2025","0.8","10","usd","155","480.58","19.38","34","3","8","2","21","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","21.0081186","-89.6162003","True","True","1219040205218020894","565899452","","","","2951.83","368.98","9007.61","644"
"abnb_1219555557895244208","House","Entire home/apt","3","8/1/2025","0.15","20","usd","222","222","74","27","1","3","28","0","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 2","","21.0194","-89.63229","True","True","1219555557895244208","584165041","","","","4143.21","1381.07","4160.96","504"
"abnb_1219586176847438343","Apartment","Entire home/apt","1","8/1/2025","0.645161","31","usd","877","877","43.85","56","3","20","11","0","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","21.0026634","-89.6205732","True","True","1219586176847438343","34365458","","","","16549.24","827.46","16437.65","1152"
"abnb_1359395657781354210","House","Entire home/apt","3","8/1/2025","0.451613","31","usd","1799","1799","128.5","65","3","14","17","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9789308","-89.6290153","True","True","1359395657781354210","431110280","","","","33785.65","2413.26","33718.75","1333"
"abnb_1359470817633866993","House","Entire home/apt","2","8/1/2025","0.892857","28","usd","2125","2352.68","85","359","9","25","3","3","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.026495702","-89.6046937738","True","True","1359470817633866993","140140219","","","","39819.98","1592.8","44096.37","6733"
"abnb_1359479853337126073","House","Entire home/apt","3","8/1/2025","0.193548","31","usd","408","408","68","30","2","6","25","0","Mexico","Yucatan","Merida","","Merida Este","","20.9592429957","-89.6019879252","True","True","1359479853337126073","573365547","","","","7689.94","1281.66","7647.16","618"
"abnb_1359498383838857711","House","Entire home/apt","2","8/1/2025","0.272727","22","usd","198","198","33","0","1","6","25","0","Mexico","Yucatan","Merida","","Merida Sud","","20.9264190116","-89.6496736079","True","True","1359498383838857711","679587609","","","","3778.68","629.78","3711.12","72"
"abnb_1359704335026958755","House","Entire home/apt","1","8/1/2025","0.409091","22","usd","378","532.64","42","0","3","9","13","9","Mexico","Yucatan","Merida","","97314","","20.9969164167","-89.6891031414","True","True","1359704335026958755","588939241","","","","7035.93","781.77","9983.23","0"
"abnb_1359715793442578403","House","Entire home/apt","3","8/1/2025","0.366667","30","usd","2210","2283.67","200.91","247","4","11","19","1","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97404","-89.61544","True","True","1359715793442578403","62941893","","","","41485.82","3771.44","42802.89","4683"
"abnb_1359729501023641573","Casa particular (Cuba)","Private room","1","8/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9606329","-89.6350905","True","True","1359729501023641573","655380063","","","","0","0","0","0"
"abnb_1359834112202141378","House","Entire home/apt","2","8/1/2025","0.285714","14","usd","209","462.79","52.25","50","3","4","10","17","Mexico","Yucatan","Merida","","97314","","21.0002788966","-89.7052562143","True","True","1359834112202141378","572911302","","","","3913.58","978.4","8674.01","942"
"abnb_1360188088904103834","Guest house","Entire home/apt","1","8/1/2025","0.333333","9","usd","72","232","24","12","1","3","8","20","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9944115","-89.6094788","True","True","1360188088904103834","565899452","","","","1381.09","460.36","4348.38","243"
"abnb_1360191827733726524","Guest house","Private room","2","8/1/2025","1","31","usd","629","629","20.29","57","5","31","0","0","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","21.0081186","-89.6162003","True","True","1360191827733726524","565899452","","","","12154.5","392.08","11789.38","1399"
"abnb_1360199143572997774","Guest house","Entire home/apt","1","8/1/2025","0.666667","6","usd","106","547.67","26.5","31","3","4","2","25","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.0290157","-89.6162806","True","True","1360199143572997774","565899452","","","","2025.06","506.27","10264.95","607"
"abnb_1360208233577191278","Apartment","Entire home/apt","2","8/1/2025","0.586207","29","usd","1208","1291.31","71.06","0","12","17","12","2","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.0347311115","-89.5936294131","True","True","1360208233577191278","111943308","","","","22580.49","1328.26","24203.12","0"
"abnb_1360215957025851503","Apartment","Private room","1","8/1/2025","0.290323","31","usd","171","171","19","18","1","9","22","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9674347777","-89.6369575528","True","True","1360215957025851503","200058732","","","","3285.72","365.08","3205.06","351"
"abnb_1360261560391773550","House","Entire home/apt","1","8/1/2025","0.766667","30","usd","1716","1773.2","74.61","194","7","23","7","1","Mexico","Yucatan","Merida","","Merida Este","","20.9583448","-89.5978558","True","True","1360261560391773550","448789731","","","","32231.07","1401.35","33235.2","3820"
"abnb_1360405627485065231","Bed & Breakfast","Private room","0","8/1/2025","0.5","24","usd","757","757","63.08","0","6","12","19","0","Mexico","Yucatan","Merida","","Merida Sud Oeste","","20.969885","-89.6478831","True","True","1360405627485065231","679835592","","","","14216.07","1184.67","14188.49","0"
"abnb_1360421847643723656","House","Entire home/apt","4","8/1/2025","0.633333","30","usd","1284","1326.8","67.58","0","7","19","11","1","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9380828793","-89.6248437682","True","True","1360421847643723656","679840267","","","","24034.91","1265","24868.29","0"
"abnb_1252878130660354562","Apartment","Entire home/apt","2","8/1/2025","0.333333","21","usd","550","811.9","78.57","107","4","7","14","10","Mexico","Yucatan","Merida","","Temozon Norte","","21.0545725","-89.6222151","True","True","1252878130660354562","140617961","","","","10306.32","1472.33","15217.48","2022"
"abnb_1253079354162255036","House","Private room","0","8/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","","","20.9830685","-89.7000979","True","True","1253079354162255036","518660111","","","","0","0","0","0"
"abnb_1253268190689863783","Apartment","Entire home/apt","1","8/1/2025","0.548387","31","usd","1206","1206","70.94","217","9","17","14","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9694365986","-89.6196556292","True","True","1253268190689863783","515054008","4616961","","","22708.53","1335.8","22604.12","4143"
