"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_1208282978145769740","House","Entire home/apt","2","5/1/2025","0","0","usd","0","0","0","0","0","0","30","1","Mexico","Yucatan","Merida","","97314","","20.99263","-89.71404","True","True","1.20828E+18","497114838","","","","0","0","0","0"
"abnb_1208673096485383114","House","Entire home/apt","3","5/1/2025","0.722222","18","usd","932","1605.09","71.69","186","4","13","5","13","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 2","","21.02008","-89.6413","True","True","1.20867E+18","134721190","","","Rodrigo","18197.42","1399.8","31272.84","3680"
"abnb_1208678656377724919","Condominium (condo)","Entire home/apt","1","5/1/2025","0.533333","30","usd","609","629.3","38.06","0","11","16","14","1","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9598231","-89.6134418","True","True","1.20868E+18","300489600","","","","11811.92","738.25","12260.97","0"
"abnb_1208831190686418305","Condominium (condo)","Private room","1","5/1/2025","0.761905","21","usd","173","255.36","10.81","13","3","16","5","10","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97407625","-89.60933492","True","True","1.20883E+18","525422707","","","","3428.33","214.27","4975.36","417"
"abnb_1208908127156619092","Townhouse","Entire home/apt","2","5/1/2025","0.04","25","usd","317","317","317","50","1","1","30","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97128","-89.62698","True","True","1.20891E+18","592184548","2840427","","Hponce Homes","6179.81","6179.81","6176.29","974"
"abnb_1247820850315444601","House","Entire home/apt","2","5/1/2025","0.576923","26","usd","1623","1935.12","108.2","0","3","15","11","5","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.96122961","-89.63478113","True","True","1.24782E+18","2698281","","","","31523.55","2101.57","37702.92","0"
"abnb_1248031151094670098","Apartment","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.02144","-89.57316","True","True","1.24803E+18","424340256","","","","0","0","0","0"
"abnb_1248080295082310013","House","Entire home/apt","2","5/1/2025","0.583333","24","usd","639","825.36","45.64","83","4","14","10","7","Mexico","Yucatan","Merida","","","","21.08328894","-89.65726661","True","True","1.24808E+18","12845444","","","","12544.62","896.04","16081.01","1788"
"abnb_1248205143731660189","Guest house","Private room","10","5/1/2025","0","0","usd","0","0","0","0","0","0","21","10","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98185581","-89.62933228","True","True","1.24821E+18","652677312","","","","0","0","0","0"
"abnb_12486619","House","Entire home/apt","3","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.03239","-89.64204","True","True","12486619","67474798","","","","0","0","0","0"
